University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,Department_clean
University of Nevada - Reno (UNR),Neuroscience,23000,1.09,2019-2020,1st,neuro
Harvard University (HU),Linguistics,33000,1.15,2018-2019,NA,linguistics
University of South Alabama (USA),Basic medical sciences,26890,1.17,2017-2018,2nd,basic medical sciences
Yale University (YU),Biomedical Engineering,35000,1.42,2018-2019,5th,biomedical engineering
Duke University (DU),Engineering/Biomedical Engineering,34800,1.57,2018-2019,3rd,engineering/biomedical engineering
Dartmouth College,Physics and Astronomy,30324,1.22,2017-2018,3rd,physics
University of Utah,Chemistry,28500,1.28,2018-2019,6th and up,chemistry
Indiana University,Cognitive Science,19463,0.9,2018-2019,2nd,cognitive science
University of Rhode Island (URI),Mechanical Engineering,24600,1.08,2018-2019,2nd,mechanical engineering
Massachusetts Institute of Technology (MIT),EECS,41700,1.49,2019-2020,1st,eecs
CUNY Graduate School and University Center,chemistry,25000,0.84,2015-2016,1st,chemistry
North Carolina State University (NCSU),Comparative Biomedical Sciences,27500,1.2,2019-2020,3rd,comparative biomedical sciences
University of Oklahoma Health Sciences Center,Biomedical Sciences,24000,1.19,2015-2016,4th,biomedical sciences
University of Hawaii - Manoa (UH),Earth Science,27126,0.89,2018-2019,2nd,geoscience
University of Nevada - Reno (UNR),Chemical and Materials Engineering,22000,1.05,2018-2019,3rd,chemical and materials engineering
University of California - Los Angeles (UCLA),Mechanical and Aerospace Engineering,26548,1.03,2018-2019,3rd,aerospace
University of Texas Medical Branch - Galveston,Human Pathophysiology and Translational Medicine,31000,1.42,2019-2020,3rd,human pathophysiology and translational medicine
Emory University,Chemistry,31100,1.34,2019-2020,4th,chemistry
University of Houston (UH),Chemical Engineering,26000,1.19,2019-2020,4th,chemical engineering
University of Wisconsin - Madison (UW),Biochemistry,29000,1.27,2018-2019,1st,chemistry
University of Tennessee - Knoxville,Mechanical Engineering,23400,1.1,2018-2019,1st,mechanical engineering
Worcester Polytechnic Institute (WPI),Robotics engineering,32250,1.43,2018-2019,3rd,robotics engineering
University of California - Santa Barbara (UCSB),Materials,32000,1.22,2018-2019,5th,materials
University of Michigan - Ann Arbor (UM),Chemistry,26000,1.32,2011-2012,1st,chemistry
University of California - Los Angeles (UCLA),Chemical Engineering,31000,1.2,2018-2019,3rd,chemical engineering
Baylor College of Medicine,NA,33450,1.53,2019-2020,4th,NA
University of California - Berkeley,Plant and Microbial Biology,37080,1.34,2019-2020,1st,biology
University of Georgia (UGA),Plant Breeding,27000,1.28,2018-2019,4th,agriculture
University of Wisconsin - Milwaukee (UWM),Kinesiology,17760,0.83,2018-2019,NA,kinesiology
Georgia Institute of Technology (Georgia Tech),Mathematics,21200,0.91,2019-2020,1st,mathematics
University of California - Berkeley,biology,38000,1.37,2018-2019,1st,biology
Case Western Reserve University,Neuroscience,29953,1.5,2018-2019,NA,neuro
Purdue University - West Lafayette,Chemistry,23830,1.13,2018-2019,1st,chemistry
Rutgers the State University of New Jersey - New Brunswick,Sociology,21000,0.81,2018-2019,1st,sociology
Clemson University (CU),Civil Engineering,21000,1.01,2018-2019,3rd,civil engineering
University of Florida (UF),Plant Pathology,27756,1.22,2018-2019,3rd,agriculture
Colorado State University (CSU),Chemistry,25000,1.11,2019-2020,1st,chemistry
University of Southern California (USC),Environmental Engineering,32000,1.24,2019-2020,1st,environmental engineering
University of Minnesota - Twin Cities (UM),Neuroscience,29000,1.27,2019-2020,1st,neuro
University of Pennsylvania,Neuroscience,34000,1.41,2018-2019,1st,neuro
Stanford University (SU),Biophysics,26839,0.93,2019-2020,1st,physics
University of California - San Diego (UCSD),NA,33000,1.25,2019-2020,1st,NA
Drexel University (DU),Chemical Engineering,29000,1.2,2019-2020,1st,chemical engineering
Oregon Health and Science University,PMCB,31000,1.32,2018-2019,1st,pmcb
Stanford University (SU),Chemistry,39200,1.36,2018-2019,6th and up,chemistry
Texas Christian University (TCU),Chemistry,21500,0.99,2018-2019,1st,chemistry
Massachusetts Institute of Technology (MIT),Sloan School of Management,43220,1.55,2019-2020,1st,sloan school of management
University of Maryland - College Park (UMD),physics,27350,0.9,2018-2019,1st,physics
Washington University in St. Louis (Wash U),Economics,26006,1.26,2019-2020,2nd,economics
Rutgers the State University of New Jersey - New Brunswick,"School of Public Health, Department of Biostatistics and Epidemiology",24600,0.95,2019-2020,1st,health
University of Texas - Austin (UT),Mechanical Engineering,28030,1.23,2019-2020,2nd,mechanical engineering
Columbia University (CU),NA,40400,1.36,2019-2020,NA,NA
Illinois Institute of Technology (IIT),Biomedical Engineering,27000,1.11,2018-2019,NA,biomedical engineering
North Carolina State University (NCSU),Biomedical Engineering,20000,0.88,2018-2019,4th,biomedical engineering
Johns Hopkins University (JHU),Political Science,29500,1.15,2019-2020,1st,political science
University of California - Los Angeles (UCLA),"Decisions, Operations, and Technology Management",35000,1.35,2019-2020,1st,"decisions, operations, and technology management"
Drexel University (DU),Biomedical Engineering,29000,1.2,2018-2019,6th and up,biomedical engineering
University of Washington (UW),Psychology,22800,0.98,2018-2019,4th,psychology
Texas Christian University (TCU),Psychology,19750,0.91,2019-2020,NA,psychology
George Washington University (GW),Biology,28000,0.91,2017-2018,NA,biology
University of Rochester (UR),Chemical Engineering,28000,1.31,2019-2020,1st,chemical engineering
Ohio State University (OSU),Education Studies,20820,1.04,2018-2019,3rd,education studies
Ohio State University (OSU),Education Studies,21840,1.09,2019-2020,4th,education studies
Harvard University (HU),Science and art,42000,1.47,2018-2019,1st,science and art
Emory University,Graduate Division of Religion,32500,1.4,2018-2019,2nd,graduate division of religion
Drexel University (DU),Chemical and Biological Engineering,28500,1.18,2018-2019,3rd,chemical and biological engineering
Michigan Technological University (MTU),Mechanical Engineering,27150,1.34,2019-2020,NA,mechanical engineering
Drexel University (DU),Computer Science,32000,1.33,2018-2019,3rd,computer science
Drexel University (DU),Physics,25000,1.04,2018-2019,6th and up,physics
Drexel University (DU),Computer Science,21300,0.88,2018-2019,2nd,computer science
Drexel University (DU),Chemistry,23500,0.97,2018-2019,4th,chemistry
Drexel University (DU),Clinical Psychology,19000,0.79,2019-2020,3rd,psychology
Drexel University (DU),Physics,23500,0.97,2018-2019,1st,physics
Drexel University (DU),ECE,26400,1.1,2018-2019,6th and up,ece
Drexel University (DU),Chemistry,24250,1.01,2018-2019,3rd,chemistry
Drexel University (DU),Chemistry/PhD,23500,0.97,2018-2019,6th and up,chemistry
Drexel University (DU),Chemical and Biological Engineering,34000,1.41,2019-2020,4th,chemical and biological engineering
Drexel University (DU),Chemistry/PhD,23500,0.97,2018-2019,2nd,chemistry
Drexel University (DU),Physics,23500,0.97,2018-2019,2nd,physics
Drexel University (DU),Chemistry,23500,0.97,2019-2020,3rd,chemistry
Drexel University (DU),chemistry,23500,0.97,2018-2019,1st,chemistry
Drexel University (DU),Biology,25000,1.04,2018-2019,NA,biology
University of Washington (UW),Speech and Hearing Sciences,21000,0.9,2018-2019,1st,speech and hearing sciences
Massachusetts Institute of Technology (MIT),"Earth, Atmospheric and Planetary Sciences",39000,1.4,2018-2019,1st,geoscience
University of Texas - Austin (UT),Biochemistry,30000,1.31,2018-2019,1st,chemistry
Massachusetts Institute of Technology (MIT),Mechanical Engineering,39346,1.41,2019-2020,4th,mechanical engineering
Rice University,Biochemistry and Cell Biology,30200,1.38,2019-2020,NA,biology
Georgetown University,Interdisciplinary Program in Neuroscience,31000,1,2019-2020,5th,neuro
University of South Florida (UCF),Psychology,16000,0.73,2018-2019,2nd,psychology
Georgia Institute of Technology (Georgia Tech),NA,28200,1.21,2018-2019,NA,NA
Georgia Institute of Technology (Georgia Tech),Materials Science and Engineering,27252,1.17,2019-2020,4th,materials science and engineering
Georgia Institute of Technology (Georgia Tech),Materials Science and Engineering,24377,1.05,2019-2020,4th,materials science and engineering
Georgia Institute of Technology (Georgia Tech),Chemistry,24900,1.07,2018-2019,5th,chemistry
University of Pittsburgh,Education,29110,1.41,2018-2019,4th,education
Arizona State University (ASU),Psychology,23400,1.05,2018-2019,3rd,psychology
Vanderbilt University,cell and developmental biology,16920,0.74,2018-2019,1st,biology
Rice University,Psychological sciences,21100,0.97,2018-2019,3rd,psychology
University of Southern California (USC),Communication,34000,1.31,2019-2020,2nd,communication
University of Texas - Dallas (UTD),Neuroscience,24000,1.11,2018-2019,NA,neuro
University of Kentucky (UK),BAE,19300,0.95,2019-2020,1st,bae
Arizona State University (ASU),School of Biological and Health Systems Engineering,16200,0.73,2018-2019,4th,health
University of Georgia (UGA),Chemistry,21000,0.99,2018-2019,5th,chemistry
North Carolina State University (NCSU),Mechanical and Aerospace Engineering,29250,1.28,2018-2019,1st,aerospace
Drexel University (DU),chemistry,23500,0.97,2018-2019,3rd,chemistry
Clarkson University,Chemistry/ PhD,24650,1.2,2019-2020,2nd,chemistry
University of Miami (UM),Psychiatry & Behavioral Sciences,26800,1.13,2019-2020,3rd,psychology
Ohio State University (OSU),Philosophy,26102,1.3,2018-2019,NA,philosophy
University of Pittsburgh,Political Science,20440,0.99,2019-2020,2nd,political science
Yale University (YU),Applied Physics,35250,1.43,2019-2020,1st,physics
University of California - San Diego (UCSD),Bioinformatics,33000,1.25,2018-2019,NA,bioinformatics
Northwestern University (NU),Interdisciplinary Biological Sciences,32875,1.36,2019-2020,1st,interdisciplinary biological sciences
Uniformed Services University of the Health Sciences,EID,36000,1.19,2018-2019,3rd,eid
Temple University (TU),Physics,25674,1.06,2018-2019,NA,physics
University of Texas - Dallas (UTD),Molecular and Cell Biology,22000,1.02,2018-2019,2nd,biology
University of South Florida (UCF),environmental engineering,25000,1.14,2019-2020,2nd,environmental engineering
University of Texas Health Science Center - San Antonio,Pharmacology,30000,1.44,2018-2019,3rd,pharmacycology
University of Tennessee - Knoxville,Department of Civil and Environmental Engineering,21190,1,2019-2020,1st,department of civil and environmental engineering
North Carolina State University (NCSU),Electrical and Computer Engineering,18200,0.8,2018-2019,1st,computer science
California Institute of Technology (Caltech),Biological Engineering,35000,1.35,2018-2019,1st,biological engineering
University of Houston (UH),Mechanical Engineering,25000,1.14,2019-2020,1st,mechanical engineering
University of Connecticut (UConn),Biomedical Sciences,32000,1.32,2019-2020,2nd,biomedical sciences
Virginia Tech,Civil and Environmental Engineering - EWR,22954,1.09,2018-2019,NA,civil and environmental engineering - ewr
University of Rochester (UR),Biomeducal Engineering,29560,1.38,2018-2019,1st,biomeducal engineering
Georgia State University (GSU),Mathematics,20600,0.88,2018-2019,2nd,mathematics
Princeton University,Art History,34500,1.36,2019-2020,1st,art history
University of Pennsylvania,Art History,29680,1.23,2019-2020,1st,art history
University of Massachusetts - Amherst (UMass),Physics,31150,1.36,2019-2020,2nd,physics
University of Massachusetts - Amherst (UMass),physics,31313,1.37,2019-2020,4th,physics
Pennsylvania State University (Penn State),Neuroscience,26000,1.16,2018-2019,NA,neuro
Northeastern University (NU),Bioengineering,32800,1.15,2019-2020,1st,bioengineering
University of Maryland - College Park (UMD),Chemical and Biomolecular Engineering,32848,1.09,2019-2020,2nd,chemical and biomolecular engineering
Virginia Commonwealth University (VCU),Health Behavior and Policy,30000,1.21,2019-2020,1st,health
Syracuse University,Physics,22000,1.03,2018-2019,2nd,physics
Colorado School of Mines,Mechanical engineering,28800,1.28,2018-2019,1st,mechanical engineering
Oregon State University (OSU),civil engineering,23600,1.13,2018-2019,1st,civil engineering
University of Pennsylvania,Pharmacology,34000,1.41,2019-2020,1st,pharmacycology
Clemson University (CU),Bioengineering,16400,0.79,2018-2019,1st,bioengineering
Clemson University (CU),Bioengineering,18777,0.9,2018-2019,1st,bioengineering
Stony Brook University - SUNY,NA,27600,0.99,2018-2019,2nd,NA
University of South Carolina (USC),Chemical Engineering,32000,1.42,2019-2020,3rd,chemical engineering
University of Southern California (USC),Neuroscience (NGP),35000,1.35,2018-2019,2nd,neuro
Arizona State University (ASU),School of Sustainable Engineering and the Built Environment,25800,1.16,2018-2019,NA,school of sustainable engineering and the built environment
University at Buffalo - SUNY,Electrical Engineering,18200,0.87,2019-2020,1st,electrical engineering
University of Minnesota - Twin Cities (UM),Medicinal Chemistry,27126,1.18,2018-2019,4th,chemistry
University of Wisconsin - Madison (UW),Statistics,18600,0.81,2018-2019,1st,statistics
CUNY Graduate School and University Center,Biology,25600,0.86,2018-2019,4th,biology
Purdue University - West Lafayette,Biomedical Engineering,24350,1.15,2018-2019,2nd,biomedical engineering
Mount Sinai School of Medicine,PhD,39000,1.31,2018-2019,1st,phd
Indiana University,Psychology,22800,1.06,2018-2019,4th,psychology
Old Dominion University (ODU),Oceanography,34000,1.28,2018-2019,4th,oceanography
Arizona State University (ASU),Chemistry,23150,1.04,2019-2020,1st,chemistry
Johns Hopkins University (JHU),Chemistry,32800,1.28,2018-2019,4th,chemistry
Princeton University,French and Italian,34400,1.35,2019-2020,2nd,french and italian
Duke University (DU),Bioengineering,29700,1.34,2018-2019,3rd,bioengineering
University of Colorado - Denver (UCD),Molecular Biology PhD,31000,1.38,2019-2020,2nd,biology
Oregon Health and Science University,Neuroscience,30000,1.28,2018-2019,1st,neuro
University of Arizona (U of A),Entomology,22022,1.06,2018-2019,1st,entomology
University of Cincinnati (UC),School Psychology,12540,0.65,2018-2019,1st,psychology
Tulane University (TU),Microbiology/Immunology,23000,1,2018-2019,NA,biology
Yeshiva University (YU),Biomedical Sciences,35000,1.18,2018-2019,1st,biomedical sciences
Northeastern University (NU),Electrical and Computer Engineering,33007,1.15,2018-2019,2nd,computer science
Stanford University (SU),Civil and Environmental Enineering,42000,1.46,2019-2020,1st,civil and environmental enineering
University of California - Los Angeles (UCLA),Electrical Engineering,28000,1.08,2019-2020,1st,electrical engineering
